window,simulationDate,ticker,trainScore,testScore,alternativeMdlTestScore,strategyReturn,alternativeMdlStrategyReturn,assetReturn,order
8,2022-06-04 12:00:00,indicator,0,0.0,0.0,-0.002621599803564854,-0.002621599803564854,-0.002621599803564854,0.1
8,2022-06-04 13:00:00,indicator,0,0.0,1.0,-0.005840696348724206,0.003840696348724206,-0.005840696348724206,0.1
8,2022-06-04 14:00:00,indicator,0,0.0,0.0,-0.0029672963640057074,-0.0029672963640057074,0.0009672963640057074,0.1
8,2022-06-04 15:00:00,indicator,0,1.0,1.0,0.005122764106499101,0.005122764106499101,0.005122764106499101,0.1
8,2022-06-04 16:00:00,indicator,0,0.0,1.0,-0.003736647467484402,0.001736647467484402,0.001736647467484402,0.1
8,2022-06-04 17:00:00,indicator,0,1.0,0.0,0.0025962609335475756,-0.004596260933547576,-0.004596260933547576,0.1
8,2022-06-04 18:00:00,indicator,0,1.0,1.0,0.0003071649377289821,0.0003071649377289821,-0.002307164937728982,0.1
8,2022-06-04 19:00:00,indicator,0,0.0,0.0,-0.002889775757828613,-0.002889775757828613,0.0008897757578286128,0.1
8,2022-06-04 20:00:00,indicator,0,1.0,0.0,0.0028050057980401025,-0.004805005798040102,-0.004805005798040102,0.1
8,2022-06-04 21:00:00,indicator,0,0.0,0.0,-0.004181881484693706,-0.004181881484693706,0.0021818814846937063,0.1
8,2022-06-04 22:00:00,indicator,0,1.0,1.0,0.0022457393788254936,0.0022457393788254936,0.0022457393788254936,0.1
8,2022-06-04 23:00:00,indicator,0,1.0,0.0,0.00028390994805737734,-0.002283909948057377,-0.002283909948057377,0.1
8,2022-06-05 00:00:00,indicator,0,0.0,0.0,-0.0028793599843263806,-0.0028793599843263806,0.0008793599843263805,0.1
8,2022-06-05 01:00:00,indicator,0,1.0,0.0,0.003131726361110655,-0.005131726361110655,-0.005131726361110655,0.1
8,2022-06-05 02:00:00,indicator,0,1.0,1.0,0.0006442147848868692,0.0006442147848868692,-0.0026442147848868692,0.1
8,2022-06-05 03:00:00,indicator,0,0.0,0.0,-0.00444405664472909,-0.00444405664472909,0.002444056644729089,0.1
8,2022-06-05 04:00:00,indicator,0,1.0,0.0,-9.24344137861068e-05,-0.0019075655862138934,-0.0019075655862138934,0.1
8,2022-06-05 05:00:00,indicator,0,1.0,1.0,0.00047982913936427053,0.00047982913936427053,-0.0024798291393642704,0.1
8,2022-06-05 06:00:00,indicator,0,0.0,0.0,-0.0033904127793721096,-0.0033904127793721096,0.0013904127793721095,0.1
8,2022-06-05 07:00:00,indicator,0,1.0,0.0,0.0011558075232748527,-0.0031558075232748528,-0.0031558075232748528,0.1
8,2022-06-05 08:00:00,indicator,0,1.0,1.0,0.0018268018759685471,0.0018268018759685471,-0.003826801875968547,0.1
8,2022-06-05 09:00:00,indicator,0,1.0,0.0,0.0005560445906452817,-0.0025560445906452818,0.0005560445906452817,0.1
8,2022-06-05 10:00:00,indicator,0,0.0,0.0,-0.002763448653534899,-0.002763448653534899,-0.002763448653534899,0.1
8,2022-06-05 11:00:00,indicator,0,1.0,0.0,-0.0009261120141864147,-0.0010738879858135852,-0.0009261120141864147,0.1
8,2022-06-05 12:00:00,indicator,0,1.0,1.0,0.0015990455996881831,0.0015990455996881831,0.0015990455996881831,0.1
8,2022-06-05 13:00:00,indicator,0,0.0,0.0,-0.0010235542010767328,-0.0010235542010767328,-0.0010235542010767328,0.1
8,2022-06-05 14:00:00,indicator,0,1.0,1.0,0.001070798842452415,0.001070798842452415,-0.003070798842452415,0.1
8,2022-06-05 15:00:00,indicator,0,0.0,0.0,-0.005560896533469056,-0.005560896533469056,0.0035608965334690563,0.1
8,2022-06-05 16:00:00,indicator,0,0.0,1.0,-0.007058730412342758,0.005058730412342758,0.005058730412342758,0.1
8,2022-06-05 17:00:00,indicator,0,1.0,0.0,0.002512918458186157,-0.004512918458186157,-0.004512918458186157,0.1
8,2022-06-05 18:00:00,indicator,0,0.0,0.0,-0.006191022183383334,-0.006191022183383334,0.004191022183383334,0.1
8,2022-06-05 19:00:00,indicator,0,1.0,0.0,-0.00014429418426491604,-0.0018557058157350841,-0.0018557058157350841,0.1
8,2022-06-05 20:00:00,indicator,0,0.0,0.0,-0.0027852195820085627,-0.0027852195820085627,0.0007852195820085626,0.1
8,2022-06-05 21:00:00,indicator,0,0.0,0.0,-0.0044612485586449984,-0.0044612485586449984,-0.0044612485586449984,0.1
8,2022-06-05 22:00:00,indicator,0,0.0,0.0,-0.0016471681384900086,-0.0016471681384900086,-0.00035283186150999156,0.1
8,2022-06-05 23:00:00,indicator,0,1.0,1.0,0.0009168883402529762,0.0009168883402529762,0.0009168883402529762,0.1
8,2022-06-06 00:00:00,indicator,0,0.0,0.0,-0.00444606259203459,-0.00444606259203459,-0.00444606259203459,0.1
8,2022-06-06 01:00:00,indicator,0,1.0,0.0,0.011784432738843283,-0.013784432738843284,0.011784432738843283,0.1
8,2022-06-06 02:00:00,indicator,0,0.0,1.0,-0.01889933168744057,0.01689933168744057,0.01689933168744057,0.1
8,2022-06-06 03:00:00,indicator,0,1.0,1.0,0.0016601556345046428,0.0016601556345046428,0.0016601556345046428,0.1
8,2022-06-06 04:00:00,indicator,0,1.0,1.0,0.009505035872589288,0.009505035872589288,0.009505035872589288,0.1
8,2022-06-06 05:00:00,indicator,0,0.0,0.0,-0.0018985315345210422,-0.0018985315345210422,-0.0018985315345210422,0.1
8,2022-06-06 06:00:00,indicator,0,1.0,1.0,0.0007250153813337893,0.0007250153813337893,-0.002725015381333789,0.1
8,2022-06-06 07:00:00,indicator,0,0.0,0.0,-0.004374501308188741,-0.004374501308188741,0.0023745013081887417,0.1
8,2022-06-06 08:00:00,indicator,0,1.0,1.0,-0.0004071796491871783,-0.0004071796491871783,-0.0004071796491871783,0.1
8,2022-06-06 09:00:00,indicator,0,1.0,1.0,0.004640921414410248,0.004640921414410248,0.004640921414410248,0.1
8,2022-06-06 10:00:00,indicator,0,1.0,1.0,-0.0008134688221239647,-0.0008134688221239647,-0.0008134688221239647,0.1
8,2022-06-06 11:00:00,indicator,0,1.0,1.0,-0.0007439248066648915,-0.0007439248066648915,-0.0007439248066648915,0.1
8,2022-06-06 12:00:00,indicator,0,0.0,0.0,-0.0037468626908518346,-0.0037468626908518346,-0.0037468626908518346,0.1
8,2022-06-06 13:00:00,indicator,0,1.0,0.0,-0.0006101503596554684,-0.0013898496403445316,-0.0006101503596554684,0.1
8,2022-06-06 14:00:00,indicator,0,1.0,1.0,8.217493282963316e-05,8.217493282963316e-05,8.217493282963316e-05,0.1
8,2022-06-06 15:00:00,indicator,0,1.0,1.0,0.001026844800871151,0.001026844800871151,0.001026844800871151,0.1
8,2022-06-06 16:00:00,indicator,0,1.0,1.0,0.00010230557383208343,0.00010230557383208343,0.00010230557383208343,0.1
8,2022-06-06 17:00:00,indicator,0,0.0,0.0,-0.008306585216069895,-0.008306585216069895,-0.008306585216069895,0.1
8,2022-06-06 18:00:00,indicator,0,1.0,0.0,0.0001232492147315318,-0.002123249214731532,0.0001232492147315318,0.1
8,2022-06-06 19:00:00,indicator,0,1.0,1.0,-0.0008921716627129285,-0.0008921716627129285,-0.0008921716627129285,0.1
8,2022-06-06 20:00:00,indicator,0,1.0,1.0,0.0028667283369751087,0.0028667283369751087,0.0028667283369751087,0.1
8,2022-06-06 21:00:00,indicator,0,0.0,0.0,-0.0012615129237589595,-0.0012615129237589595,-0.0012615129237589595,0.1
8,2022-06-06 22:00:00,indicator,0,0.0,0.0,-0.0018381409100169434,-0.0018381409100169434,-0.0001618590899830567,0.1
8,2022-06-06 23:00:00,indicator,0,0.0,0.0,-0.0039632701850750175,-0.0039632701850750175,-0.0039632701850750175,0.1
8,2022-06-07 00:00:00,indicator,0,0.0,1.0,-0.0017150694923325353,-0.0002849305076674648,-0.0017150694923325353,0.1
8,2022-06-07 01:00:00,indicator,0,1.0,1.0,0.036462985806311715,0.036462985806311715,-0.03846298580631172,0.1
